exercise_id,exercise_name,body_part,equipment,primary_muscle,secondary_muscles,movement_pattern,tracking_supported,instructions,gif_url
673,dumbbell seated inner biceps curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. rest your upper arms on your thighs, allowing the dumbbells to hang down. keeping your upper arms stationary, curl the dumbbells up towards your shoulders by contracting your biceps. pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/FsTVnVAwqMAkRd
674,dumbbell seated kickback,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"sit on a bench with your feet flat on the ground and hold a dumbbell in each hand. bend your knees slightly and lean forward from your hips, keeping your back straight. bring your upper arms close to your sides and keep your elbows bent at a 90-degree angle. extend your arms straight back, squeezing your triceps at the top of the movement. pause for a moment, then slowly lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ryy1rLMBUS1P83
675,dumbbell seated lateral raise,shoulders,dumbbell,delts,"traps, upper back",other,no,"sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs. keep your back straight and core engaged. raise the dumbbells to your sides with a slight bend in your elbows, until your arms are parallel to the ground. pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/snk1iSwjALqd4R
676,dumbbell seated lateral raise v. 2,shoulders,dumbbell,delts,"traps, triceps",other,no,"sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs. keep your back straight and core engaged. raise the dumbbells to your sides with a slight bend in your elbows, until your arms are parallel to the ground. pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Z7h5JXE2T6QbiN
677,dumbbell seated neutral wrist curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing each other. rest your forearms on your thighs, allowing the dumbbells to hang down. keeping your wrists in a neutral position, curl the dumbbells up towards your shoulders. pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/D6or4uywb1hiZe
678,dumbbell seated one arm bicep curl on exercise ball with leg raised,upper arms,dumbbell,biceps,"forearms, shoulders",elbow_flexion,yes,"sit on an exercise ball with your feet flat on the ground and your back straight. hold a dumbbell in one hand with your palm facing up and your arm fully extended. place your other hand on your hip for stability. slowly curl the dumbbell towards your shoulder, keeping your upper arm stationary. pause for a moment at the top of the movement, squeezing your bicep. slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions. switch arms and repeat the exercise.",https://v2.exercisedb.io/image/evWbj1s6Owd6wv
679,dumbbell seated one arm kickback,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"sit on a bench with your feet flat on the ground and hold a dumbbell in one hand. bend your torso forward at the waist, keeping your back straight and parallel to the ground. extend your arm straight back, keeping your elbow close to your body. pause for a moment at the top, then slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/dRF4fl5ZgFukxZ
680,dumbbell seated one arm rotate,lower arms,dumbbell,forearms,"shoulders, biceps",other,no,"sit on a bench with your back straight and hold a dumbbell in one hand, resting it on your thigh. raise the dumbbell up to shoulder height, keeping your elbow close to your body. rotate your forearm outward, away from your body, while keeping your upper arm stationary. pause for a moment at the top, then slowly rotate your forearm back to the starting position. repeat for the desired number of repetitions, then switch to the other arm.",https://v2.exercisedb.io/image/nUejTgXuu1qupV
681,dumbbell seated one leg calf raise,lower legs,dumbbell,calves,"hamstrings, glutes",other,no,"sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your right thigh. extend your left leg straight out in front of you, keeping your foot flexed. place the ball of your right foot on an elevated surface, such as a step or weight plate. using your calf muscles, raise your right heel as high as possible. pause for a moment at the top, then slowly lower your heel back down to the starting position. repeat for the desired number of repetitions, then switch legs.",https://v2.exercisedb.io/image/yuDtFY6sF67lk1
682,dumbbell seated one leg calf raise - hammer grip,lower legs,dumbbell,calves,"hamstrings, glutes",other,no,"sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your thighs. place one foot on a raised surface, such as a step or block, with your heel hanging off the edge. hold the dumbbell with a hammer grip, meaning your palms are facing each other and your fingers are wrapped around the handle. keeping your core engaged and your back straight, slowly raise your heel as high as possible by pushing through the ball of your foot. pause for a moment at the top, then slowly lower your heel back down to the starting position. repeat for the desired number of repetitions, then switch to the other leg.",https://v2.exercisedb.io/image/DD-zpP7o1Pze4g
683,dumbbell seated one leg calf raise - palm up,lower legs,dumbbell,calves,"hamstrings, glutes",other,no,"sit on a bench or chair with your back straight and your feet flat on the ground. hold a dumbbell in one hand and place it on top of your thigh, palm facing up. lift one leg off the ground and extend it in front of you, keeping your knee slightly bent. raise your heel as high as possible by pushing through the ball of your foot. pause for a moment at the top, then slowly lower your heel back down. repeat for the desired number of repetitions, then switch legs and repeat.",https://v2.exercisedb.io/image/MfRECYKT20hYPr
684,dumbbell seated palms up wrist curl,lower arms,dumbbell,forearms,"biceps, shoulders",other,no,"sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. rest your forearms on your thighs, allowing your wrists to hang off the edge. slowly curl your wrists upward, squeezing your forearms at the top of the movement. pause for a moment, then lower your wrists back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/gsfvAB9DHJsamo
685,dumbbell seated preacher curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"sit on a preacher curl bench with your feet flat on the floor. hold a dumbbell in one hand with an underhand grip, resting your upper arm against the preacher pad. keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/klhPE3swZx5f1c
686,dumbbell seated revers grip concentration curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"sit on a bench with your feet flat on the ground and hold a dumbbell in one hand, palm facing up. rest your elbow on the inside of your thigh, just above the knee. keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder. pause for a moment at the top, squeezing your biceps. inhale and slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/5Viat3dszRchii
687,dumbbell seated reverse grip one arm overhead tricep extension,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"sit on a bench with your back straight and feet flat on the ground. hold a dumbbell with an underhand grip and extend your arm straight up overhead. lower the dumbbell behind your head by bending your elbow, keeping your upper arm stationary. pause for a moment, then extend your arm back up to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/u61H-dy2FQtID-
688,dumbbell seated shoulder press,shoulders,dumbbell,delts,"triceps, upper back",other,no,"sit on a bench with a dumbbell in each hand, resting on your thighs. raise the dumbbells to shoulder height, palms facing forward. press the dumbbells upward until your arms are fully extended overhead. pause for a moment at the top, then slowly lower the dumbbells back to shoulder height. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/PPdNJiyQqJYNgo
689,dumbbell seated shoulder press (parallel grip),shoulders,dumbbell,delts,"triceps, upper back",other,no,"sit on a bench with a dumbbell in each hand, palms facing inward. raise the dumbbells to shoulder height, elbows bent and palms facing forward. press the dumbbells upward until your arms are fully extended overhead. pause for a moment at the top, then slowly lower the dumbbells back to shoulder height. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/zCTl20da6YB95i
690,dumbbell seated triceps extension,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"sit on a bench with your back straight and feet flat on the ground. hold a dumbbell with both hands and extend your arms straight up overhead. bend your elbows and lower the dumbbell behind your head, keeping your upper arms close to your ears. pause for a moment, then straighten your arms and return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/r82tMvayfyF32M
691,dumbbell shrug,back,dumbbell,traps,shoulders,other,no,"stand with your feet shoulder-width apart and hold a dumbbell in each hand with your palms facing your body. keep your arms straight and let the dumbbells hang by your sides. raise your shoulders as high as possible, as if you are trying to touch your ears with your shoulders. hold the contraction for a second, then slowly lower your shoulders back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/tQWd4QeNGCovij
692,dumbbell side bend,waist,dumbbell,abs,obliques,other,no,"stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, letting it hang down by your side. keeping your back straight and your core engaged, slowly bend sideways at the waist towards the opposite side of the dumbbell, lowering the weight as far as you comfortably can. pause for a moment, then slowly return to the starting position. repeat for the desired number of repetitions, then switch sides and repeat.",https://v2.exercisedb.io/image/d5m6Gg7DsXFgLE
693,dumbbell side lying one hand raise,shoulders,dumbbell,delts,"trapezius, rhomboids",other,no,"lie on your side with your legs extended and your head supported by your arm. hold a dumbbell in your top hand with your palm facing down. keeping your arm straight, raise the dumbbell up to shoulder height. pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/klGbUmQNvLJflY
694,dumbbell side plank with rear fly,back,dumbbell,upper back,"shoulders, core",other,no,"start by lying on your side with your legs extended and stacked on top of each other. place your forearm on the ground directly below your shoulder, keeping your elbow bent at a 90-degree angle. hold a dumbbell in your top hand, with your arm extended straight down towards the ground. engage your core and lift your hips off the ground, creating a straight line from your head to your heels. while maintaining the side plank position, lift the dumbbell up towards the ceiling, squeezing your shoulder blades together. lower the dumbbell back down to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/q2jsG0qe5erqN0
695,dumbbell single arm overhead carry,shoulders,dumbbell,delts,"traps, core",other,no,"stand tall with your feet shoulder-width apart, holding a dumbbell in one hand. raise the dumbbell overhead, fully extending your arm. engage your core and keep your back straight as you walk forward, maintaining the dumbbell overhead. continue walking for the desired distance or time. switch hands and repeat the exercise.",https://v2.exercisedb.io/image/zVCDlJBAwWGc4i
696,dumbbell single leg calf raise,lower legs,dumbbell,calves,ankles,other,no,"stand on the edge of a step or platform with your heels hanging off and your toes on the step. hold a dumbbell in one hand and place your other hand on a wall or railing for support. raise your heel as high as possible, lifting your body up onto your toes. pause for a moment at the top, then slowly lower your heel back down below the step. repeat for the desired number of repetitions, then switch to the other leg.",https://v2.exercisedb.io/image/UfjrDHfMgae5vT
697,dumbbell single leg deadlift,upper legs,dumbbell,glutes,"hamstrings, lower back",knee_flexion,yes,"stand with your feet hip-width apart, holding a dumbbell in your right hand. shift your weight onto your left leg and lift your right foot slightly off the ground. keeping your back straight, hinge forward at the hips and lower the dumbbell towards the ground. at the same time, extend your right leg straight behind you, maintaining a slight bend in your left knee. lower the dumbbell until your torso and right leg are parallel to the ground. pause for a moment, then engage your glutes and hamstrings to return to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/EcZHV-XXhEnZXp
698,dumbbell single leg deadlift with stepbox support,upper legs,dumbbell,glutes,"hamstrings, lower back",knee_flexion,yes,"stand with your feet hip-width apart, holding a dumbbell in your right hand. place your left foot on a stepbox or elevated surface behind you. keeping your back straight and core engaged, hinge forward at the hips, lowering the dumbbell towards the ground. as you lower the dumbbell, simultaneously lift your left leg behind you, maintaining a straight line from head to heel. lower the dumbbell until you feel a stretch in your right hamstring, then return to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/NaIFXuODiMxIyh
699,dumbbell single leg split squat,upper legs,dumbbell,quads,"glutes, hamstrings, calves",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand. take a step forward with one foot and position your feet so that your front foot is flat on the ground and your back foot is elevated on a bench or step. lower your body by bending your front knee and hip, keeping your back knee slightly bent and your back heel off the ground. continue lowering until your front thigh is parallel to the ground, then push through your front heel to return to the starting position. repeat for the desired number of repetitions, then switch legs and repeat.",https://v2.exercisedb.io/image/1R-yjJhWqFzgel
700,dumbbell single leg squat,upper legs,dumbbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in each hand. extend one leg forward and keep it off the ground throughout the exercise. bend your standing leg and lower your body down as if sitting back into a chair. keep your chest up and your back straight. pause for a moment at the bottom, then push through your heel to return to the starting position. repeat for the desired number of repetitions, then switch legs.",https://v2.exercisedb.io/image/qe3DdeQwU6BGqm
701,dumbbell squat,upper legs,dumbbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in each hand at your sides. keeping your chest up and core engaged, lower your body down by bending at the knees and hips, as if sitting back into a chair. continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. pause for a moment at the bottom, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ZsFdg2NKf3srnX
702,dumbbell standing alternate hammer curl and press,upper arms,dumbbell,biceps,"forearms, shoulders",elbow_flexion,yes,"stand up straight with a dumbbell in each hand, palms facing your body. keep your elbows close to your torso and your back straight. exhale and curl the dumbbell in your right hand towards your shoulder, keeping your upper arm stationary. continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. inhale and slowly lower the dumbbell back to the starting position. repeat the curl with your left hand. after completing the curl with your left hand, exhale and press the dumbbell in your right hand overhead. extend your arm fully and hold for a moment at the top. inhale and slowly lower the dumbbell back to the starting position. repeat the press with your left hand. continue alternating between curls and presses for the desired number of repetitions.",https://v2.exercisedb.io/image/3tcXyB3Z4f08ZB
703,dumbbell standing alternate overhead press,shoulders,dumbbell,delts,"triceps, core",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward. press one dumbbell overhead, fully extending your arm. lower the dumbbell back to shoulder level. repeat with the other arm. continue alternating arms for the desired number of repetitions.",https://v2.exercisedb.io/image/R3KxRrDWJpOOAD
704,dumbbell standing alternate raise,shoulders,dumbbell,delts,"traps, forearms",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your body. keep your back straight and your core engaged. raise one dumbbell to the side, keeping your arm straight and your palm facing down. continue lifting until your arm is parallel to the ground. pause for a moment at the top, then slowly lower the dumbbell back to the starting position. repeat with the other arm. alternate between arms for the desired number of repetitions.",https://v2.exercisedb.io/image/GuiEm8TeA3J7hK
705,dumbbell standing alternating tricep kickback,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in each hand. bend your knees slightly and hinge forward at the hips, keeping your back straight. extend your arms straight back, keeping your elbows close to your body. pause for a moment at the top, then slowly lower the dumbbells back to the starting position. repeat with the other arm, alternating sides with each repetition.",https://v2.exercisedb.io/image/QlTMcBHYlD-gNB
706,dumbbell standing around world,shoulders,dumbbell,delts,"triceps, forearms",other,no,"stand with your feet shoulder-width apart and hold a dumbbell in each hand. extend your arms straight out to the sides at shoulder height, palms facing down. keeping your arms straight, slowly rotate your arms in a circular motion, bringing the dumbbells in front of your body and then overhead. continue the circular motion, bringing the dumbbells back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/CKsdyOwnUIRDzC
707,dumbbell standing bent over one arm triceps extension,upper arms,dumbbell,triceps,"shoulders, back",elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a dumbbell in one hand. bend forward at the waist, keeping your back straight and parallel to the ground. extend your arm straight back, keeping your elbow close to your body. slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/Xn1gpfBNtZ7Fw7
708,dumbbell standing bent over two arm triceps extension,upper arms,dumbbell,triceps,"shoulders, back",elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a dumbbell in each hand. bend forward at the waist, keeping your back straight and your knees slightly bent. extend your arms straight back, keeping your elbows close to your body. slowly lower the dumbbells back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/A7RsFjze8J54XN
709,dumbbell standing biceps curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand up straight with a dumbbell in each hand, palms facing forward and arms fully extended. keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly begin to lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/4-2BxwraMiT6XW
710,dumbbell standing calf raise,lower legs,dumbbell,calves,ankles,other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand. raise your heels off the ground as high as possible, using your calves. pause for a moment at the top, then slowly lower your heels back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/V2fT0KscDeo2x2
711,dumbbell standing concentration curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your arm fully extended and palm facing inwards. place your opposite hand on your thigh for support. keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/EFtMRmQ1qTtbX1
712,dumbbell standing front raise above head,shoulders,dumbbell,delts,"trapezius, biceps",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. keep your arms straight and lift the dumbbells in front of you, raising them above your head. pause for a moment at the top, then slowly lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/d9CuN88K7aItQq
713,dumbbell standing inner biceps curl v. 2,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand up straight with a dumbbell in each hand, palms facing your torso. keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. while holding your upper arms stationary, curl the weights while contracting your biceps. continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. slowly begin to bring the dumbbells back to the starting position as your breathe in. repeat for the recommended amount of repetitions.",https://v2.exercisedb.io/image/eHqEbsSSnyAUtv
714,dumbbell standing kickback,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a dumbbell in each hand. bend your knees slightly and hinge forward at the hips, keeping your back straight. extend your arms straight back, squeezing your triceps at the top of the movement. pause for a moment, then slowly lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dZjW1sv7p9dXyG
715,dumbbell standing one arm concentration curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, palm facing up. place your free hand on your thigh for support. keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/WHbRauncfhlllN
716,dumbbell standing one arm curl (over incline bench),upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing forward. place your other hand on an incline bench for support. keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. pause for a moment at the top, then inhale and slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/Ce8suSGlee4UIM
717,dumbbell standing one arm curl over incline bench,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in one hand. place your other hand on an incline bench for support. keeping your upper arm stationary, curl the dumbbell towards your shoulder by contracting your biceps. pause for a moment at the top, then slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/yndlIwjMkRIdHU
718,dumbbell standing one arm extension,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in one hand. raise the dumbbell overhead, fully extending your arm. keep your upper arm close to your head and perpendicular to the ground. slowly lower the dumbbell behind your head, bending your elbow. pause for a moment, then raise the dumbbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/xProMvESZNSnrE
719,dumbbell standing one arm palm in press,shoulders,dumbbell,delts,"triceps, core",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in one hand at shoulder height with your palm facing inwards. engage your core and keep your back straight. press the dumbbell upwards until your arm is fully extended. pause for a moment at the top, then slowly lower the dumbbell back to the starting position. repeat for the desired number of repetitions, then switch to the other arm.",https://v2.exercisedb.io/image/VrIg9YMed8SKM2
720,dumbbell standing one arm reverse curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand with an overhand grip. keep your arm fully extended and close to your body, with your palm facing down. slowly curl the dumbbell up towards your shoulder, keeping your upper arm stationary. pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. repeat for the desired number of repetitions, then switch to the other arm.",https://v2.exercisedb.io/image/bKlHRqz3saD5uj
721,dumbbell standing overhead press,shoulders,dumbbell,delts,"triceps, upper back",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward. press the dumbbells upward until your arms are fully extended overhead. pause for a moment at the top, then slowly lower the dumbbells back down to shoulder level. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/SHWlThdJx-Zufu
722,dumbbell standing palms in press,shoulders,dumbbell,delts,"triceps, chest",other,no,"stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing inwards. keeping your core engaged and your back straight, press the dumbbells upwards until your arms are fully extended overhead. pause for a moment at the top, then slowly lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/nPHhDpwS4sKGLf
723,dumbbell standing preacher curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand upright with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing forward. rest the back of your upper arms against the preacher bench or an incline bench, with your elbows slightly bent. keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly begin to lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/IelbXhCaayZZLG
724,dumbbell standing reverse curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand up straight with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body. keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. hold the contracted position for a brief pause as you squeeze your biceps. inhale and slowly begin to lower the dumbbells back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/x9Ds3OqXOAvnax
725,dumbbell standing triceps extension,upper arms,dumbbell,triceps,shoulders,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a dumbbell in one hand. raise the dumbbell overhead, keeping your arm straight. bend your elbow and lower the dumbbell behind your head, keeping your upper arm stationary. extend your arm back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/mGBUnzFqaX7ZWM
726,dumbbell standing zottman preacher curl,upper arms,dumbbell,biceps,forearms,elbow_flexion,yes,"stand up straight with a dumbbell in each hand, palms facing forward. place your upper arms against the preacher bench and keep your elbows slightly bent. curl the dumbbells up towards your shoulders while keeping your upper arms stationary. at the top of the movement, rotate your wrists so that your palms are facing downward. slowly lower the dumbbells back to the starting position, rotating your wrists back to the starting position as well. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/5RkrpAxFTermtP
727,dumbbell step up single leg balance with bicep curl,upper arms,dumbbell,biceps,"quadriceps, glutes, hamstrings",elbow_flexion,yes,"stand in front of a step or platform with a dumbbell in each hand, palms facing your body. place your right foot on the step, ensuring your entire foot is in contact with the surface. engage your core and push through your right heel to lift your body up onto the step, bringing your left knee up towards your chest. at the top of the movement, perform a bicep curl by bending your elbows and bringing the dumbbells towards your shoulders. lower the dumbbells back down and simultaneously lower your left foot back to the ground. repeat the movement on the opposite side, stepping up with your left foot and curling the dumbbells. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/nDc3IBoFfNEUHn
728,dumbbell step-up,upper legs,dumbbell,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand in front of a bench or step with a dumbbell in each hand, palms facing your body. place your right foot on the bench or step, ensuring your entire foot is in contact with the surface. push through your right heel and lift your body up onto the bench or step, straightening your right leg. bring your left foot up onto the bench or step, standing fully upright. step back down with your left foot, followed by your right foot, returning to the starting position. repeat for the desired number of repetitions, then switch legs.",https://v2.exercisedb.io/image/cUefNJvZZ4l3SR
729,dumbbell step-up lunge,upper legs,dumbbell,quads,"glutes, hamstrings, calves",other,no,"stand in front of a step or platform with a dumbbell in each hand, palms facing your sides. place your right foot on the step, ensuring your entire foot is on the surface. push through your right heel and lift your body up onto the step, bringing your left foot up as well. once both feet are on the step, lower your left foot back down to the starting position, keeping your right foot on the step. repeat the movement, alternating which foot you step up with each time. continue for the desired number of repetitions.",https://v2.exercisedb.io/image/Fa5oZDClVD4cE8
730,dumbbell step-up split squat,upper legs,dumbbell,quads,"glutes, hamstrings, calves",other,no,"stand in front of a bench or step with a dumbbell in each hand, palms facing your body. place your right foot on the bench or step, ensuring your entire foot is in contact with the surface. step up onto the bench or step with your right foot, pushing through your heel to lift your body up. as you step up, simultaneously lift your left knee towards your chest. pause at the top of the movement, then slowly lower your left foot back to the ground while keeping your right foot on the bench or step. repeat the movement with your left foot on the bench or step. continue alternating between your right and left foot for the desired number of repetitions.",https://v2.exercisedb.io/image/sJnsM0nG4yohpW
731,dumbbell stiff leg deadlift,upper legs,dumbbell,glutes,"hamstrings, lower back",knee_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. keeping your back straight and your core engaged, hinge at the hips and lower the dumbbells towards the ground, allowing a slight bend in your knees. lower the dumbbells until you feel a stretch in your hamstrings, then squeeze your glutes and push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/7aGWGRUgydSfrM
732,dumbbell straight arm pullover,chest,dumbbell,pectorals,"latissimus dorsi, triceps",other,no,"lie flat on a bench with your head at one end and your feet planted firmly on the ground. hold a dumbbell with both hands and extend your arms straight above your chest. keeping your arms straight, slowly lower the dumbbell behind your head in an arc-like motion. pause for a moment, then raise the dumbbell back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/SpQgGklGd2SB0H
733,dumbbell straight leg deadlift,upper legs,dumbbell,glutes,"hamstrings, lower back",knee_flexion,yes,"stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. keeping your back straight and your core engaged, hinge at the hips and lower the dumbbells towards the ground, allowing your torso to lean forward. continue lowering the dumbbells until you feel a stretch in your hamstrings, keeping your knees slightly bent. pause for a moment at the bottom, then engage your glutes and hamstrings to lift your torso back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/y2IvCxwPmkCYgn
734,dumbbell sumo pull through,upper legs,dumbbell,glutes,"hamstrings, quadriceps, core",knee_flexion,yes,"stand with your feet wider than shoulder-width apart, toes pointed outwards. hold a dumbbell with both hands in front of your body, arms extended. bend your knees and lower your hips down into a squat position, keeping your back straight. lower the dumbbell down between your legs, keeping your arms straight. drive through your heels and extend your hips forward, pulling the dumbbell up and in front of your body. squeeze your glutes at the top of the movement, then lower the dumbbell back down between your legs. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/C97LNPX5nqzm1Z
